raw_title,catalogue_course_title,stack
Mathematics for Computer Science,Math for CSE,DS/ML
Mathematics for Computer Science_1,Math for CSE,DS/ML
Math For Computer Science,Math for CSE,DS/ML
Mathematics for Computing,Math for CSE,DS/ML
Mathematics for Data Science,Math for CSE,DS/ML
Introduction to Generative AI,Introduction to GenAI,GenAI
Workshop Technology (Introduction to Generative AI),Introduction to GenAI,GenAI
Python Programming,Computer Programming using Python,Programming & Algorithms
Programming with Python,Computer Programming using Python,Programming & Algorithms
Problem Solving Using Python Programming,Computer Programming using Python,Programming & Algorithms
Problem Solving with Python,Computer Programming using Python,Programming & Algorithms
Programming Foundations,Computer Programming using Python,Programming & Algorithms
HTML & CSS,Web Application Development,FullStack
Fundamentals of Web Development,Web Application Development,FullStack
Introduction to Web Technologies,Web Application Development,FullStack
Introduction to JavaScript,Web Application Development,FullStack
Web Application Development-1,Web Application Development,FullStack
Web Development Programmining,Web Application Development,FullStack
Build Your Own Responsive Website,Web Application Development,FullStack
Modern Responsive Web Design,Web Application Development,FullStack
Build Your Own Static Website,Web Application Development,FullStack
Build Your Own Dynamic Web Application,Web Application Development,FullStack
Introduction to ReactJS,Advanced Frontend Development Using React,FullStack
Introduction to React JS,Advanced Frontend Development Using React,FullStack
Django & DRF for Backend Development,Django Backend Development,FullStack
Probability & Statistics,Probability and Statistics,DS/ML
Linear algebra and Optimization,Linear Algebra and Calculus,DS/ML
Quantitaive Aptitude,Quantitative Aptitude,Aptitude
Quantitative Skills,Quantitative Aptitude,Aptitude
Communication English Foundation,Communicative English Foundation,English
Cambridge English B1,Communicative English Foundation,English
English - Basic,Communicative English Foundation,English
Core Java,Computer Programming using Java,Programming & Algorithms
DBMS Fundamentals,Database Management Systems,CS Core
Introduction to Database,Database Management Systems,CS Core
Introduction to Databases(+Mongo DB),Database Management Systems,CS Core
DSA Foundation,Data Structures and Algorithms using C++,Programming & Algorithms
Intro to Software Development,Introduction to Software Development,Induction
